instance,base,only loop,only revisit,both
uniform-63-n20-maxradius-10.txt,394.501,394.135 (0.09%),394.501 (0%),394.135 (0.09%)
uniform-63-n20-maxradius-15.txt,394.501,394.135 (0.09%),394.501 (0%),394.135 (0.09%)
uniform-63-n20-maxradius-20.txt,394.501,388.809 (1.44%),394.501 (0%),388.809 (1.44%)
uniform-64-n20-maxradius-10.txt,369.443,368.366 (0.29%),369.443 (0%),368.366 (0.29%)
uniform-64-n20-maxradius-15.txt,369.443,367.675 (0.48%),369.443 (0%),367.675 (0.48%)
uniform-64-n20-maxradius-20.txt,368.264,366.496 (0.48%),368.264 (0%),366.496 (0.48%)
uniform-65-n20-maxradius-10.txt,398.844,396.165 (0.67%),398.844 (0%),396.165 (0.67%)
uniform-65-n20-maxradius-15.txt,396.317,391.214 (1.29%),396.317 (0%),391.214 (1.29%)
uniform-66-n20-maxradius-15.txt,434.434,431.766 (0.61%),434.434 (0%),431.766 (0.61%)
uniform-66-n20-maxradius-20.txt,431.233,428.565 (0.62%),431.233 (0%),N/A (0%)
uniform-67-n20-maxradius-10.txt,391.609,389.393 (0.57%),391.609 (0%),389.393 (0.57%)
uniform-67-n20-maxradius-15.txt,391.609,389.393 (0.57%),391.609 (0%),389.393 (0.57%)
uniform-68-n20-maxradius-10.txt,436.537,433.253 (0.75%),436.537 (0%),433.253 (0.75%)
uniform-68-n20-maxradius-15.txt,431.924,430.208 (0.4%),431.924 (0%),430.208 (0.4%)
uniform-69-n20-maxradius-10.txt,380.433,376.532 (1.03%),380.433 (0%),376.532 (1.03%)
uniform-69-n20-maxradius-15.txt,380.433,376.532 (1.03%),380.433 (0%),376.532 (1.03%)
uniform-70-n20-maxradius-20.txt,422.337,414.224 (1.92%),422.337 (0%),414.224 (1.92%)
uniform-alpha_3-51-n10-maxradius-150.txt,268.136,264.077 (1.51%),261.67 (2.41%),256.465 (4.35%)
uniform-alpha_3-51-n10-maxradius-200.txt,235.754,235.754 (0%),227.124 (3.66%),227.124 (3.66%)
uniform-alpha_3-51-n10-maxradius-20.txt,301.184,298.988 (0.73%),301.184 (0%),298.988 (0.73%)
uniform-alpha_3-51-n10-maxradius-40.txt,301.184,298.988 (0.73%),301.184 (0%),298.988 (0.73%)
uniform-alpha_3-51-n10-maxradius-60.txt,301.184,298.224 (0.98%),301.184 (0%),298.224 (0.98%)
uniform-alpha_3-52-n10-maxradius-20.txt,303.873,303.013 (0.28%),303.873 (0%),303.013 (0.28%)
uniform-alpha_3-52-n10-maxradius-40.txt,303.873,295.909 (2.62%),303.873 (0%),295.909 (2.62%)
uniform-alpha_3-53-n10-maxradius-100.txt,257.291,236.342 (8.14%),257.291 (0%),236.342 (8.14%)
uniform-alpha_3-54-n10-maxradius-100.txt,250.384,246.425 (1.58%),250.384 (0%),246.425 (1.58%)
uniform-alpha_3-54-n10-maxradius-150.txt,194.59,194.59 (0%),191.273 (1.7%),191.273 (1.7%)
uniform-alpha_3-54-n10-maxradius-200.txt,194.59,194.59 (0%),191.273 (1.7%),191.273 (1.7%)
uniform-alpha_3-54-n10-maxradius-40.txt,309.652,307.24 (0.78%),309.652 (0%),307.24 (0.78%)
uniform-alpha_3-55-n10-maxradius-100.txt,287.124,283.755 (1.17%),276.207 (3.8%),273.733 (4.66%)
uniform-alpha_3-55-n10-maxradius-150.txt,247.886,236.658 (4.53%),241.842 (2.44%),236.658 (4.53%)
uniform-alpha_3-55-n10-maxradius-200.txt,239.2,232.846 (2.66%),239.2 (0%),232.846 (2.66%)
uniform-alpha_3-55-n10-maxradius-40.txt,338.061,330.832 (2.14%),338.061 (0%),330.832 (2.14%)
uniform-alpha_3-55-n10-maxradius-60.txt,317.624,306.815 (3.4%),317.624 (0%),306.815 (3.4%)
uniform-alpha_3-56-n10-maxradius-100.txt,249.606,229.186 (8.18%),214.861 (13.92%),207.541 (16.85%)
uniform-alpha_3-56-n10-maxradius-150.txt,190.326,190.326 (0%),188.364 (1.03%),187.502 (1.48%)
uniform-alpha_3-56-n10-maxradius-200.txt,190.326,190.019 (0.16%),188.364 (1.03%),187.502 (1.48%)
uniform-alpha_3-56-n10-maxradius-40.txt,322.641,320.632 (0.62%),322.641 (0%),320.632 (0.62%)
uniform-alpha_3-56-n10-maxradius-60.txt,308.393,303.285 (1.66%),308.393 (0%),303.285 (1.66%)
